season,player,type,ws,terms,contract_yrs,yr_1_salary,Source
2017,Willie Reed,UFA,3.6,Signed 1-yr/$1.5M deal with Clippers,1,1577230.00,spotrac
2019,Wilson Chandler,UFA,1.5,Signed 1-yr $2.56M contract,1,2564753.00,capology
2019,Yante Maten,UFA,0,Signed Exhibit 10 contract,0,0.00,NA
2018,Yogi Ferrell,UFA,3,"Signed 2-yr $6.15MM contract, second year not guaranteed",2,3000000.00,capology
2018,Zach LaVine,RFA,0.3,Signed 4-yr $78MM contract,4,19500000.00,capology
2017,Zach Randolph,UFA,3.2,Signed 2-yr/$24M deal with Kings,2,12307692.00,capology
2016,Zaza Pachulia,UFA,6,Signed 1-yr/$2.9M deal with Warriors,1,2898000.00,capology
2017,Zaza Pachulia,UFA,4.7,Signed 1-yr/$3.5M deal with Warriors,1,3477600.00,capology
2018,Zaza Pachulia,UFA,3.3,Signed 1-yr minimum salary contract,1,2393887.00,spotrac
2020,Anthony Davis,UFA,11.1,Signed 5-yr $190M contract,5,32742000.00,spotrac
2020,Hassan Whiteside,UFA,8.5,Signed 1-yr $2.3M contract,1,2320044.00,spotrac
2020,Montrezl Harrell,UFA,7,Signed 2-yr $19M contract,2,9258000.00,spotrac
2020,Danilo Gallinari,UFA,6.3,Signed 3-yr $61M contract with OKC as part of sign-and-trade,3,19500000.00,spotrac
2020,Fred VanVleet,UFA,5.8,Signed 4-year $85M contract,4,21250000.00,spotrac
2020,Gordon Hayward,UFA,5.7,Signed 4-yr/$120M contract with BOS as part of a sign and trade,4,28500000.00,spotrac
2020,Dwight Howard,UFA,5.4,Signed 1-yr $2.56M contract,1,2564753.00,spotrac
2020,Brandon Ingram,RFA,5.1,,5,27285000.00,spotrac
2020,Christian Wood,UFA,5.1,Signed 3-yr $41M contract with DET as part of a sign-and-trade,3,13015874.00,spotrac
2020,Nerlens Noel,UFA,4.9,Signed 1-yr $5M contract,1,5000000.00,spotrac
2020,Jerami Grant,UFA,4.4,Signed 3-yr $60M contract with DEN as part of sign-and-trade,3,19050000.00,spotrac
2020,Derrick Jones Jr.,UFA,4.4,Signed 2-yr $19M contract,2,9258000.00,spotrac
2020,Joe Harris,UFA,4.3,Signed 4-yr $75M contract,4,16071429.00,spotrac
2020,Derrick Favors,UFA,4.2,Signed 3-yr/$29.2M contract,3,9258000.00,spotrac
2020,Justin Holiday,UFA,4.2,Signed 3-yr $18M contract,3,5720400.00,spotrac
2020,Jakob Poeltl,RFA,4,Signed 3-yr $26.25M contract,3,8101852.00,spotrac
2020,Serge Ibaka,UFA,3.9,Signed 2-yr $19M contract,2,9258000.00,spotrac
2020,Chris Boucher,RFA,3.8,Signed 2-yr $13.5M contract,2,6500000.00,spotrac
2020,Jae Crowder,UFA,3.8,Signed 3-yr $29M contract,3,9258000.00,spotrac
2020,Alec Burks,UFA,3.7,Signed 1-yr $6M contract,1,6000000.00,spotrac
2020,Kentavious Caldwell-Pope,UFA,3.7,Signed 3-yr $39M contract,3,12073020.00,spotrac
2020,Ersan İlyasova,UFA,3.6,*waived 1 day before free agency*,0,0.00,bbref
2020,Marcus Morris,UFA,3.6,Signed 4-yr $64M contract,4,14883721.00,spotrac
2020,Dario Šarić,RFA,3.6,Signed 3-yr $27M contract,3,9250000.00,spotrac
2020,Dāvis Bertāns,UFA,3.5,Signed 5-yr $80M contract,5,15000000.00,spotrac
2020,Goran Dragić,UFA,3.5,"2 yr/$37.5M, 2021-22 is a team option",2,18000000.00,spotrac
2020,Paul Millsap,UFA,3.5,Signed 1-yr $10M contract,1,10000000.00,spotrac
2020,Brad Wanamaker,UFA,3.5,Signed 1-yr $2.25M contract,1,2250000.00,spotrac
2020,Jordan Clarkson,UFA,3.4,Signed 4-yr/$52M contract,4,11500000.00,spotrac
2020,Pat Connaughton,UFA,3.4,Signed 3-yr $16M contract,3,4938273.00,spotrac
2020,Rondae Hollis-Jefferson,UFA,3.4,Signed and waived by MIN *exhibit 10*,0,0.00,bbref
2020,Mason Plumlee,UFA,3.4,Signed 3-yr/$25M contract,3,8000000.00,spotrac
2020,Wesley Matthews,UFA,3.2,Signed 1-yr $3.6M contract,1,3623000.00,spotrac
2020,Bogdan Bogdanović,RFA,3.1,Signed 4-yr $72M contract,4,18000000.00,spotrac
2020,Langston Galloway,UFA,3.1,Signed 1-yr $2M contract,1,2028594.00,spotrac
2020,JaMychal Green,UFA,3.1,Signed 2-yr $15M contract,2,7199760.00,spotrac
2020,Tristan Thompson,UFA,3.1,Signed 2-yr $19M contract,2,9258000.00,spotrac
2020,Marc Gasol,UFA,3,Signed 2-yr $5M contract,2,2564753.00,spotrac
2020,D.J. Augustin,UFA,2.9,Signed 3-yr $21M contract,3,6666667.00,spotrac
2020,Willie Cauley-Stein,UFA,2.9,Signed 2-yr $8.2M contract,2,4100000.00,spotrac
2020,Glenn Robinson III,UFA,2.9,Signed 1-yr $2M contract,1,2028594.00,spotrac
2020,Damian Jones,UFA,2.8,"Signed 2-yr $3.7M contract with PHO, waived and signed 10-day contract with LAL",2,1857078.00,spotrac
2020,Maurice Harkless,UFA,2.7,Signed 1-yr/$3.6M contract,1,3623000.00,spotrac
2020,Taj Gibson,UFA,2.6,,0,0.00,NA
2020,Kyle Korver,UFA,2.5,,0,0.00,NA
2020,Alex Len,UFA,2.5,"Signed and waived by TOR, signed by WAS",1,2320000.00,spotrac
2020,Jeff Teague,UFA,2.5,Signed 1-yr $2.6M contract,1,2564753.00,spotrac
2020,Bismack Biyombo,UFA,2.4,"Signed 1-yr/$2.3M contract *all other sources say 3.5 (espn, hoopshype, etc)*",1,3500000.00,spotrac
2020,James Ennis,UFA,2.4,Signed 1-yr/$3.3M contact,1,3300000.00,spotrac
2020,Austin Rivers,UFA,2.4,Signed 3-yr $10M contract with HOU as part of a sign-and-trade with NYK,3,3174603.00,bbref
2020,Garrett Temple,UFA,2.4,Signed 1-yr $4.8M contract,1,4767000.00,spotrac
2020,Marvin Williams,UFA,2.4,,0,0.00,NA
2020,Kris Dunn,UFA,2.3,Signed 2-yr $10M contract,2,4767000.00,spotrac
2020,Aron Baynes,UFA,2.1,Signed 2-yr $14.3M contract,2,6975610.00,bbref
2020,Jeff Green,UFA,2.1,Signed 1-yr $2.56M contract,1,2564753.00,spotrac
2020,Meyers Leonard,UFA,2.1,"Signed 2-yr $20M contract, 2021-22 is a team option",2,9400000.00,spotrac
2020,Torrey Craig,UFA,2,Signed 1-yr $1.7M contract,1,1678854.00,spotrac
2020,Michael Carter-Williams,UFA,1.9,Signed 2-yr $6M contract,2,3300000.00,spotrac
